finding,date,file,title,grade,law
001,2026-08-24 13:29,test_security_assurance.py,Avoid scanning the planted token as a real secret,LOCAL,
002,2026-08-24 13:29,ci.yml,Require an MLIR parser before passing the differential,NEW-LAW,L2
003,2026-08-24 13:29,run_malformed_differential.py,Construct an actually malformed Python module,NEW-LAW,L11
004,2026-08-24 13:29,scan_secrets.py,Fail the scan when an archive cannot be inspected,NEW-LAW,L1
005,2026-08-24 13:29,run_decoder_campaign.py,Fail when a canonical decoder seed is rejected,NEW-LAW,L10
006,2026-08-24 13:29,scan_secrets.py,Limit placeholder suppression to the matched value,NEW-LAW,L6
007,2026-08-24 13:29,scan_secrets.py,Propagate gitleaks failures into the scan result,NEW-LAW,L9
008,2026-08-24 13:29,audit_dependencies.py,Support Python 3.10 in the required audit,LOCAL,
009,2026-08-24 13:52,run_malformed_differential.py,Discover bcir-opt in the documented build directory,NEW-LAW,L13
010,2026-08-24 13:52,run_malformed_differential.py,Require every executed verifier to reject malformed input,INSTANCE,L11
011,2026-08-24 13:52,scan_secrets.py,Restrict placeholder suppression to explicit fixture values,INSTANCE,L6
012,2026-08-24 13:52,ci.yml,Fail CI when the C decoder campaign is unavailable,INSTANCE,L10
013,2026-08-24 13:52,scan_secrets.py,Normalize Windows separators before checking archive paths,NEW-LAW,L17
014,2026-08-24 13:52,audit_tool_boundaries.py,Resolve imported aliases when auditing subprocess boundaries,NEW-LAW,L18
015,2026-08-24 13:52,scan_secrets.py,Scan staged contents rather than the working-tree copy,NEW-LAW,L15
016,2026-08-24 13:52,scan_secrets.py,Detect unquoted and YAML-style secret assignments,NEW-LAW,L5
017,2026-08-24 13:52,independent_review.py,Return a structured failure when the reviewer cannot start,INSTANCE,L1
018,2026-08-24 14:36,run_malformed_differential.py,Treat compiled-verifier crashes as failures,INSTANCE,L10
019,2026-08-24 14:36,scan_secrets.py,Handle declared single-file compression formats,INSTANCE,L18
020,2026-08-24 14:36,scan_secrets.py,Enforce the archive enumeration cap,NEW-LAW,L3
021,2026-08-24 14:36,audit_tool_boundaries.py,Propagate assigned process-function aliases,LOCAL,
022,2026-08-24 14:36,run_decoder_campaign.py,Require a guaranteed malformed mutation to be rejected,INSTANCE,L2
023,2026-08-24 14:36,independent_review.py,Accept reviewer options after --command,LOCAL,
024,2026-08-24 14:36,run_decoder_campaign.py,Print captured C campaign diagnostics on failure,INSTANCE,L1
025,2026-08-24 15:25,scan_secrets.py,Recognize empty ZIP archives before falling back to tar,INSTANCE,L18
026,2026-08-24 15:25,audit_tool_boundaries.py,Detect non-literal truthy shell arguments,LOCAL,
027,2026-08-24 15:25,independent_review.py,Preserve quoting in the reviewer environment command,LOCAL,
028,2026-08-24 15:25,test_security_assurance.py,Keep the C fuzzer out of the parallel Python test inventory,NEW-LAW,L19
029,2026-08-24 15:25,test_security_assurance.py,Isolate optional pip-audit from the quick oracle,INSTANCE,L19
030,2026-08-24 15:25,audit_tool_boundaries.py,Make alias propagation converge across reassignments,LOCAL,
031,2026-08-24 16:45,run_malformed_differential.py,Exercise malformed laws on both verifier rails,INSTANCE,L11
032,2026-08-24 16:45,audit_tool_boundaries.py,Clear cached constants on nonconstant reassignment,LOCAL,
033,2026-08-24 16:45,scan_secrets.py,Match qualified secret assignment names,INSTANCE,L5
034,2026-08-24 16:45,scan_secrets.py,Inspect archive link targets for traversal,INSTANCE,L17
035,2026-08-24 16:45,test_security_assurance.py,Isolate optional bcir-opt from the quick oracle,INSTANCE,L19
036,2026-08-24 16:45,independent_review.py,Convert undecodable reviewer output into a structured failure,INSTANCE,L1
037,2026-08-24 19:06,audit_tool_boundaries.py,Evaluate shell constants at each call site,LOCAL,
038,2026-08-24 19:06,scan_secrets.py,Allow quoted sensitive keys in assignment scans,INSTANCE,L5
039,2026-08-24 19:06,scan_secrets.py,Avoid parsing 7z archives as tar files,INSTANCE,L18
040,2026-08-24 19:06,scan_secrets.py,Inspect symlink targets in ZIP entries,INSTANCE,L17
